date,match_id,side,title,subtitle,price,rating,image_name,image_url
2025-08-21,0,left,Chili chicken wrap,,9.0,14.5,0_left.webp,https://scrandle.com/media/o/FW1w3BIXwAEjUkA.webp
2025-08-21,0,right,Lamb rogan josh,"Half rice, half chips",7.5,87.9,0_right.webp,https://scrandle.com/media/o/F4UA6E3WkAAQHy1.webp
2025-08-21,1,left,Roast potatoes,With beef gravy,3.5,84.5,1_left.webp,https://scrandle.com/media/o/GV0i6ZnWAAAsiah.webp
2025-08-21,1,right,Spicy sausage,,3.3,90.8,1_right.webp,https://scrandle.com/media/o/Fs4XLECXoAI4kxm.webp
2025-08-21,2,left,Short rib poutine,,8.0,88.2,2_left.webp,https://scrandle.com/media/o/GU5YL5nW4AA-Zg6.webp
2025-08-21,2,right,Fried chicken in a cone,,10.0,43.7,2_right.webp,https://scrandle.com/media/o/FlQR7r0XEAAjlN5.webp
2025-08-21,3,left,Boneless chicken bites,With BBQ bacon loaded fries,8.95,93.5,3_left.webp,https://scrandle.com/media/o/FgOqjhgWIAEt325.webp
2025-08-21,3,right,Chips and schnitzel nuggets,With a pint,12.0,92.3,3_right.webp,https://scrandle.com/media/o/F6pEND2W0AAehyZ.webp
2025-08-21,4,left,10 Cevapi,"With chips, cabbage and a bread roll",10.9,69.9,4_left.webp,https://scrandle.com/media/o/FrptI6XXsAAaKbO.webp
2025-08-21,4,right,Butter chicken tikka and rice,,6.0,90.1,4_right.webp,https://scrandle.com/media/o/F9H7LJaXsAA-6T-.webp
2025-08-21,5,left,Smash burger,,6.5,88.7,5_left.webp,https://scrandle.com/media/o/FPB4ewhXoAkBQlv.webp
2025-08-21,5,right,"Pork, chips, stuffing and gravy",In a hollowed cob,8.0,76.9,5_right.webp,https://scrandle.com/media/o/FQZ1N-bWUAQS8ef.webp
2025-08-21,6,left,Chicken wings and rice,,0.3,67.0,6_left.webp,https://scrandle.com/media/o/F5a-4YCXcAEv2zv.webp
2025-08-21,6,right,Pepperoni pizza,,11.0,81.0,6_right.webp,https://scrandle.com/media/o/F4nVMGJXYAADw_5.webp
2025-08-21,7,left,Cheesy bacon fries,,10.2,71.6,7_left.webp,https://scrandle.com/media/o/F7hn-ZWW8AEmTjd.webp
2025-08-21,7,right,Sausage and a beer,,12.0,40.0,7_right.webp,https://scrandle.com/media/o/FPlb46sXsAcIRLE.webp
2025-08-21,8,left,Crispy pork belly,,1.5,93.2,8_left.webp,https://scrandle.com/media/o/GlYjDbPXkAAw5M4.webp
2025-08-21,8,right,Double cheeseburger and chips,,10.0,94.8,8_right.webp,https://scrandle.com/media/o/Flee-eDXEAEYowq.webp
2025-08-21,9,left,Cheesy nachos,,4.7,8.6,9_left.webp,https://scrandle.com/media/o/Fcnb0c5WIAEbJSW.webp
2025-08-21,9,right,Build it burger,"Beef, sausage, bacon, egg and cheese",8.5,84.1,9_right.webp,https://scrandle.com/media/o/FoOjn44WIAI-AV8.webp
