date,match_id,side,title,subtitle,price,rating,image_name,image_url
2025-07-18,0,left,Hot dog,,5.5,10.3,0_left.webp,https://scrandle.com/media/o/FoYyLawWYAA9Jsw.webp
2025-07-18,0,right,Hot dog,,3.5,14.1,0_right.webp,https://scrandle.com/media/o/FRnLtjeX0AAbsFp.webp
2025-07-18,1,left,Pepperoni pizza,With alcoholic drink,15.0,17.9,1_left.webp,https://scrandle.com/media/o/FlPw8YrXgAAqM0s.webp
2025-07-18,1,right,Cheesy chips,,3.0,26.1,1_right.webp,https://scrandle.com/media/o/FQJ_9cXXoAk9QJO.webp
2025-07-18,2,left,Sausage in lompe,The Norwegian hot dog,3.5,31.6,2_left.webp,https://scrandle.com/media/o/FzOt7oAXoAEMj4W.webp
2025-07-18,2,right,Nachos and dips,,5.0,32.9,2_right.webp,https://scrandle.com/media/o/FQtKSYKWUAs8Ig_.webp
2025-07-18,3,left,"Pie, peas and gravy",,3.5,41.5,3_left.webp,https://scrandle.com/media/o/F4ZnL-VWEAMt4np.webp
2025-07-18,3,right,Meat pie,"With mash potato, mushy peas and gravy",5.0,37.9,3_right.webp,https://scrandle.com/media/o/FUvgMs5WUAMyby2.webp
2025-07-18,4,left,Zsiros Kenyer,Onion bread with a pint,2.2,41.7,4_left.webp,https://scrandle.com/media/o/FhSU3gZWAAAB5bq.webp
2025-07-18,4,right,Chicken and chips,,12.0,42.5,4_right.webp,https://scrandle.com/media/o/FMm28SAX0Acs-dc.webp
2025-07-18,5,left,Wigan kebab,Pie and mushy peas on a roll,4.25,46.8,5_left.webp,https://scrandle.com/media/o/GWK5wGWXMAADv89.webp
2025-07-18,5,right,Fried chicken in a cone,,10.0,43.7,5_right.webp,https://scrandle.com/media/o/FlQR7r0XEAAjlN5.webp
2025-07-18,6,left,Meatzza Pizza Fries,"Pepperoni, italian sausage, mozzarella, pizza sauce and nacho cheese sauce",14.0,48.1,6_left.webp,https://scrandle.com/media/o/GluAFAUXEAAA1ZJ.webp
2025-07-18,6,right,Sausage in lompe,,3.5,47.3,6_right.webp,https://scrandle.com/media/o/FpMG3PAXEBoOFTt.webp
2025-07-18,7,left,Jerk chicken salad,,7.5,49.3,7_left.webp,https://scrandle.com/media/o/FKReHrRXEAIg-xq.webp
2025-07-18,7,right,"Chips, cheese and curry sauce",,2.5,50.1,7_right.webp,https://scrandle.com/media/o/FL42iDdXoA0Fpac.webp
2025-07-18,8,left,Kuro Burger,,7.0,50.2,8_left.webp,https://scrandle.com/media/o/FKskV4tXEAIY9JM.webp
2025-07-18,8,right,"Meatballs, chips, gravy and mushy peas",,6.5,51.5,8_right.webp,https://scrandle.com/media/o/FnvnNHXWIAYtXde.webp
2025-07-18,9,left,Double cheeseburger with chips on a roll,,5.0,51.9,9_left.webp,https://scrandle.com/media/o/FMcW-lsXIAwt4u9.webp
2025-07-18,9,right,Chicken tandoori pie,,2.5,52.1,9_right.webp,https://scrandle.com/media/o/FKWm0WrXwAUo-vk.webp
