date,match_id,side,title,subtitle,price,rating,image_name,image_url
2026-01-24,0,left,Pig skin,With spicy salsa and lemon,1.85,34.97,0_left.webp,https://scrandle.com/media/o/GhHlkw8W4AEuvqT.webp
2026-01-24,0,right,"The ""Moms bad boy"" hot dog",,,26.3,0_right.webp,https://scrandle.com/media/o/GjWdQYfXsAAjcSU.webp
2026-01-24,1,left,Cheese pretzel and krakauer sausage,,7.5,77.8,1_left.webp,https://scrandle.com/media/o/FcXmelEXkAYJQX1.webp
2026-01-24,1,right,Tortellini Bolognese,With beer,5.5,93.5,1_right.webp,https://scrandle.com/media/o/GD6NHlDXoAEShkJ.webp
2026-01-24,2,left,Samosas,"Chicken, lamb and vegetable available -- price for 2",5.0,75.5,2_left.webp,https://scrandle.com/media/o/FNu2Ar0X0AU42PO.webp
2026-01-24,2,right,"Pork shank, sausage and cheese sandwich",,4.8,87.8,2_right.webp,https://scrandle.com/media/o/Fv94rfCWAAA0R15.webp
2026-01-24,3,left,Sri Lankan food platter,Free for fans,0.0,93.7,3_left.webp,https://scrandle.com/media/o/FR2_o7PXwAIkq09.webp
2026-01-24,3,right,Rotisserie chicken,With macaroni cheese,14.0,75.7,3_right.webp,https://scrandle.com/media/o/FvPR6H0WwAI9O6c.webp
2026-01-24,4,left,Bread with onion and paprika,,0.85,29.2,4_left.webp,https://scrandle.com/media/o/G0RdUG-XsAA1Lfc.webp
2026-01-24,4,right,The big boss,"XL chicken breast, fried mozzarella, with fries",12.0,80.8,4_right.webp,https://scrandle.com/media/o/GlDBUUiWQAA5oQX.webp
2026-01-24,5,left,Chicken burger,,3.8,78.58,5_left.webp,https://scrandle.com/media/o/FR2J6INWYAAp__e.webp
2026-01-24,5,right,Hot Dog,,5.0,84.24,5_right.webp,https://scrandle.com/media/o/FD1jid-XIAYQHeW.webp
2026-01-24,6,left,Chicken pie,,5.25,37.63,6_left.webp,https://scrandle.com/media/o/GdVSMN-XMAAknTz.webp
2026-01-24,6,right,Cheese pizza,@pizzahut,10.0,61.7,6_right.webp,https://scrandle.com/media/o/FaiCl03akAAGGy5.webp
2026-01-24,7,left,Hot dog,,3.0,12.7,7_left.webp,https://scrandle.com/media/o/Fqoe7j3WYAESMug.webp
2026-01-24,7,right,Ice cream,,3.5,60.2,7_right.webp,https://scrandle.com/media/o/FtX704UWcAIkAa8.webp
2026-01-24,8,left,Pepperoni pizza,,11.0,81.0,8_left.webp,https://scrandle.com/media/o/F4nVMGJXYAADw_5.webp
2026-01-24,8,right,Pork rib burger,,6.0,10.0,8_right.webp,https://scrandle.com/media/o/GZIVJyAX0AAMczK.webp
2026-01-24,9,left,Pulled pork sandwich,,3.0,86.1,9_left.webp,https://scrandle.com/media/o/FlaR1LlXEAIcSlx.webp
2026-01-24,9,right,Hot dog topped with cheese,,2.9,61.6,9_right.webp,https://scrandle.com/media/o/FLzPKGpXIAMTU7Q.webp
