date,match_id,side,title,subtitle,price,rating,image_name,image_url
2026-01-27,0,left,Chicken club sandwich,,5.2,14.38,0_left.webp,https://scrandle.com/media/o/F5gua4zXEAAGTqN.webp
2026-01-27,0,right,Hotdog,,4.8,19.83,0_right.webp,https://scrandle.com/media/o/Gs70uH9XoAAzKyd.webp
2026-01-27,1,left,Mince Meat Pie,"With chips, gravy and mushy peas",5.5,39.17,1_left.webp,https://scrandle.com/media/o/GjWSe6eWwAE6x2Q.webp
2026-01-27,1,right,Chicken wings,With chips,8.5,88.84,1_right.webp,https://scrandle.com/media/o/F2zeqVuXEAExTcH.webp
2026-01-27,2,left,Cornish pasty,With a pint,,46.34,2_left.webp,https://scrandle.com/media/o/GaSLwNZWYAANDyW.webp
2026-01-27,2,right,Zapiekanka,With a pepsi,5.2,17.88,2_right.webp,https://scrandle.com/media/o/GaMNcSqXEAAdlj4.webp
2026-01-27,3,left,Hog Wild,"BBQ pulled pork, mac and cheese, bacon bits, fried onions, sour cream, BBQ sauce",9.0,79.06,3_left.webp,https://scrandle.com/media/o/Gw5fEmpWoAALRSq.webp
2026-01-27,3,right,"Sausage, bread and pickle",,3.8,33.8,3_right.webp,https://scrandle.com/media/o/GgeIdvtXUAAFvsU.webp
2026-01-27,4,left,Meat and potato pie,"With chips, peas and gravy and a pint of Pomona",12.0,35.54,4_left.webp,https://scrandle.com/media/o/GJCBGCFXEAAhVix.webp
2026-01-27,4,right,Chips and cheese,,1.5,28.31,4_right.webp,https://scrandle.com/media/o/FjUjGAMXEAwsBWH.webp
2026-01-27,5,left,"Pie, peas and gravy",,,36.91,5_left.webp,https://scrandle.com/media/o/Ghg3KmTWEAEqz4U.webp
2026-01-27,5,right,Chicken burger,With waffle fries,9.5,78.67,5_right.webp,https://scrandle.com/media/o/FTRS3GDXoAAHUIp.webp
2026-01-27,6,left,Chicken and chips,With a cider,6.5,67.9,6_left.webp,https://scrandle.com/media/o/FLjMSJeXEAMLeYf.webp
2026-01-27,6,right,Buffalo wings,,6.0,89.2,6_right.webp,https://scrandle.com/media/o/FLkqIG6XIAAfSl8.webp
2026-01-27,7,left,Pulled pork cheeseburger,With slaw,7.0,77.21,7_left.webp,https://scrandle.com/media/o/FaOPGzUXkAAN8z0.webp
2026-01-27,7,right,Salt and pepper chicken,With chips,,49.17,7_right.webp,https://scrandle.com/media/o/Gq6t806XsAAwycW.webp
2026-01-27,8,left,Pulled pork and cheese hot dog,,7.0,68.8,8_left.webp,https://scrandle.com/media/o/FFCpuINXEAgcqlj.webp
2026-01-27,8,right,Taco hotdog,With a coke,4.75,18.64,8_right.webp,https://scrandle.com/media/o/GrKCn5hW8AAK-d2.webp
2026-01-27,9,left,Fish and chips,With fried halloumi and curry sauce,12.0,81.8,9_left.webp,https://scrandle.com/media/o/F_j1QhBXUAAxZGq.webp
2026-01-27,9,right,Chicken curry and chips,With a pint,8.5,72.2,9_right.webp,https://scrandle.com/media/o/F4tQlZHakAAoiAG.webp
