date,match_id,side,title,subtitle,price,rating,image_name,image_url
2026-04-17,0,left,Biscoff doughnut,,2.95,83.9,0_left.webp,https://scrandle.com/media/o/FuQxkY5X0AUna7O.webp
2026-04-17,0,right,Doughnuts,Price for each,5.0,70.9,0_right.webp,https://scrandle.com/media/o/FefJC_AXgAI9EtF.webp
2026-04-17,1,left,Donuts and crepes,,5.0,81.2,1_left.webp,https://scrandle.com/media/o/GDQdIgZW4AAeryh.webp
2026-04-17,1,right,Jaffa cake doughnut,,2.2,83.9,1_right.webp,https://scrandle.com/media/o/FhTFcKdXwAAFzA2.webp
2026-04-17,2,left,Kinder bueno doughnut,,2.95,67.75,2_left.webp,https://scrandle.com/media/o/FgA4qitX0AA0bBR.webp
2026-04-17,2,right,Oreo doughnut,,2.95,59.79,2_right.webp,https://scrandle.com/media/o/FgEHagBWYAEj69P.webp
2026-04-17,3,left,Nutella donuts,,6.0,83.4,3_left.webp,https://scrandle.com/media/o/FhivvoqXkAYLTJd.webp
2026-04-17,3,right,Biscoff and kinder bueno doughnuts,Price for each,5.0,65.8,3_right.webp,https://scrandle.com/media/o/G0KUiP5WkAAfF3O.webp
2026-04-17,4,left,5 sugar doughnuts,,5.0,62.02,4_left.webp,https://scrandle.com/media/o/FPLWj1WXsAIzVy3.webp
2026-04-17,4,right,Toffee doughnut,,3.5,37.4,4_right.webp,https://scrandle.com/media/o/GkBUwG7XoAAa3VU.webp
2026-04-17,5,left,Biscoff doughnut,,3.5,77.06,5_left.webp,https://scrandle.com/media/o/GFMNOaMWUAAjFv3.webp
2026-04-17,5,right,Jammy dodger doughnut,,2.95,47.73,5_right.webp,https://scrandle.com/media/o/FuQ2MyQX0AkqHJ9.webp
2026-04-17,6,left,Donuts,"With nutella, marshmallows and cream",5.5,74.4,6_left.webp,https://scrandle.com/media/o/Gk0XEC4XgAAMRRe.webp
2026-04-17,6,right,Dairy milk doughnut,,2.95,84.4,6_right.webp,https://scrandle.com/media/o/F5wbTu-XkAAVqV3.webp
2026-04-17,7,left,Donuts,,4.0,87.7,7_left.webp,https://scrandle.com/media/o/F5Vs4YYW0AMHIlh.webp
2026-04-17,7,right,Pizza donut,,2.6,60.5,7_right.webp,https://scrandle.com/media/o/FuuLgfFWIAEuqlz.webp
2026-04-17,8,left,Pie in a doughnut,,3.0,39.3,8_left.webp,https://scrandle.com/media/o/FaCRaeiXkAIn2Jp.webp
2026-04-17,8,right,Lotus biscoff donut,,2.95,87.8,8_right.webp,https://scrandle.com/media/o/FZkFjB0X0AYeC8a.webp
2026-04-17,9,left,Lotus Doughnuts,,6.0,35.84,9_left.webp,https://scrandle.com/media/o/GSTqlYiWoAAtJKj.webp
2026-04-17,9,right,Chocolate donut,,2.0,64.18,9_right.webp,https://scrandle.com/media/o/Fx4jJOMWYAEHAQM.webp
