date,match_id,side,title,subtitle,price,rating,image_name,image_url
2026-03-22,0,left,Tortellini Bolognese,With beer,5.5,93.5,0_left.webp,https://scrandle.com/media/o/GD6NHlDXoAEShkJ.webp
2026-03-22,0,right,Deep fried cheese in a roll,,3.3,73.7,0_right.webp,https://scrandle.com/media/o/FKmBIoYXMAcZyvn.webp
2026-03-22,1,left,Sausage bap,With onions,4.0,68.23,1_left.webp,https://scrandle.com/media/o/GSXTNPuWAAA5hCY.webp
2026-03-22,1,right,Meat pie,"With mash, peas, gravy, compostable fork and bowl",6.5,44.24,1_right.webp,https://scrandle.com/media/o/lewes_scran.webp
2026-03-22,2,left,Korean corn dog,Stuffed with mozzarella and breaded with panko bread crumbs,9.0,86.5,2_left.webp,https://scrandle.com/media/o/GXomjqHW0AEG1Ez.webp
2026-03-22,2,right,Steak bowls,,6.0,94.4,2_right.webp,https://scrandle.com/media/o/FUt_yzkWIAIzhQp.webp
2026-03-22,3,left,Hot dog,,,19.43,3_left.webp,https://scrandle.com/media/o/Gdgb3oYWQAAfJf5.webp
2026-03-22,3,right,Bowl of popcorn,With a beer,22.5,26.3,3_right.webp,https://scrandle.com/media/o/GoByW2YWEAA0rK1.webp
2026-03-22,4,left,Pitta bread and meatballs,,6.5,93.0,4_left.webp,https://scrandle.com/media/o/F4KO6lbWYAAQ8eH.webp
2026-03-22,4,right,"Sausage, pickle and bread",,3.7,75.4,4_right.webp,https://scrandle.com/media/o/F3k-kAmagAAOuCQ.webp
2026-03-22,5,left,Curry chips,,5.2,24.93,5_left.webp,https://scrandle.com/media/o/FPCV6EoXIAso0N3.webp
2026-03-22,5,right,Ice cream nachos,,9.0,48.78,5_right.webp,https://scrandle.com/media/o/FQ0G-KVXsAAII7f.webp
2026-03-22,6,left,Sausage roll,,4.7,49.23,6_left.webp,https://scrandle.com/media/o/FoY2w3HXoAEhE15.webp
2026-03-22,6,right,The chippy tea butty,"Fishcake on a bed of chips, topped with mushy peas and tartar sauce",8.0,67.9,6_right.webp,https://scrandle.com/media/o/Ggc8-q2WEAAyFXF.webp
2026-03-22,7,left,Fish & Chips,,10.0,34.89,7_left.webp,https://scrandle.com/media/o/becf686b6db4.webp
2026-03-22,7,right,"Lobster, steak, chicken tender and salad",Free with suite admission,0.0,57.13,7_right.webp,https://scrandle.com/media/o/IMG_3235.webp
2026-03-22,8,left,Popcorn chicken and chips,,6.0,82.1,8_left.webp,https://scrandle.com/media/o/FLBHMHqWUA44-wm.webp
2026-03-22,8,right,Sausage,,3.3,50.8,8_right.webp,https://scrandle.com/media/o/GnPJFyTWMAEZ_c2.webp
2026-03-22,9,left,"Sausages, chips and curry sauce",In a hollowed cob,4.5,52.57,9_left.webp,https://scrandle.com/media/o/GZ2tTOJWcAo-oG3.webp
2026-03-22,9,right,Olympic burger and fries,With a drink,12.1,30.12,9_right.webp,https://scrandle.com/media/o/GTVW_MsWcAAXiok.webp
