date,match_id,side,title,subtitle,price,rating,image_name,image_url
2026-03-04,0,left,Jerk chicken,With rice and peas and coleslaw,11.0,86.7,0_left.webp,https://scrandle.com/media/o/GsrzBLqXgAAaO4y.webp
2026-03-04,0,right,Loaded fries,,,75.46,0_right.webp,https://scrandle.com/media/o/GgSMA-WXEAA7T4C.webp
2026-03-04,1,left,The Breakfast Box,,8.0,91.7,1_left.webp,https://scrandle.com/media/o/Gvzz_L_XMAAsk1z.webp
2026-03-04,1,right,Waffle on a stick,,3.9,69.7,1_right.webp,https://scrandle.com/media/o/F3iM8XqXwAAJb8a.webp
2026-03-04,2,left,Shish kebab,With chips and curry sauce,5.0,68.22,2_left.webp,https://scrandle.com/media/o/Fle_KWWWIAsfKLt.webp
2026-03-04,2,right,Chicken gyros,With tzatziki and chili sauce,7.0,85.36,2_right.webp,https://scrandle.com/media/o/Gdy7txZWAAEAI8Q.webp
2026-03-04,3,left,Hot dog in waffle,,3.8,65.8,3_left.webp,https://scrandle.com/media/o/FstSJExXgAAw8sD.webp
2026-03-04,3,right,Pizza bread,,3.0,80.0,3_right.webp,https://scrandle.com/media/o/FcUQuDHWAAE86Tp.webp
2026-03-04,4,left,Bacon cheeseburger,With a pint,7.5,85.4,4_left.webp,https://scrandle.com/media/o/FRCXg4ZXIAALpWY.webp
2026-03-04,4,right,Sausages wrapped in a giant Yorkshire pudding,With a gravy pot,5.0,92.5,4_right.webp,https://scrandle.com/media/o/GyuzHbBWAAAyvAv.webp
2026-03-04,5,left,Zsíros kenyér,Made by Scrandle developer,0.5,27.59,5_left.webp,https://scrandle.com/media/o/my_zsiros.webp
2026-03-04,5,right,Jerk chicken,With rice and salad,10.0,58.17,5_right.webp,https://scrandle.com/media/o/FdHId-UWAAAVu2l.webp
2026-03-04,6,left,Spicy Pep pizza,"Pepperoni, hot honey and chilli flakes",13.0,93.8,6_left.webp,https://scrandle.com/media/o/Gh_tpKSX0AAargC.webp
2026-03-04,6,right,Chicken share box,,8.95,78.3,6_right.webp,https://scrandle.com/media/o/FK0mshuXsAElmYz.webp
2026-03-04,7,left,Bacon cheeseburger with chips,,12.9,71.6,7_left.webp,https://scrandle.com/media/o/FrwwLTxWcBcSV2s.webp
2026-03-04,7,right,"Pie, chips and gravy",,5.5,86.4,7_right.webp,https://scrandle.com/media/o/G0lMNS_XcAA4vFJ.webp
2026-03-04,8,left,"Hot dog, loaded fries and a beer",,32.5,10.9,8_left.webp,https://scrandle.com/media/o/FsvWc9tWwAE-hX_.webp
2026-03-04,8,right,Steak and kidney pie,"With mash, peas, gravy, and a drink",10.0,70.5,8_right.webp,https://scrandle.com/media/o/FzY4s9HXoAQdYCG.webp
2026-03-04,9,left,Donner barm,With salad and chili sauce,7.0,75.71,9_left.webp,https://scrandle.com/media/o/F0NwPV7WcAENNBx.webp
2026-03-04,9,right,Burger,With coke,5.25,35.78,9_right.webp,https://scrandle.com/media/o/GqBq1i-W8AANBiA.webp
