date,match_id,side,title,subtitle,price,rating,image_name,image_url
2025-04-23,0,left,Yakisoba,Stir fried noodles with beer,7.0,91.2,0_left.webp,https://scrandle.com/media/o/Fy-VQkdWcAEsTZE.webp
2025-04-23,0,right,Mixed worms and insects,,2.1,29.2,0_right.webp,https://scrandle.com/media/o/GNSdIT6XoAAWQUh.webp
2025-04-23,1,left,Meat (Unknown) sandwich,,0.67,24.4,1_left.webp,https://scrandle.com/media/o/F89iOy8WQAAmhD_.webp
2025-04-23,1,right,Wigan kebab,Steak pie in a roll,4.0,48.1,1_right.webp,https://scrandle.com/media/o/FR782ulXsAMjXrc.webp
2025-04-23,2,left,Curry goat,,7.5,62.2,2_left.webp,https://scrandle.com/media/o/FJzCOTIXsAEkQM6.webp
2025-04-23,2,right,Bacon cheeseburger,,8.5,12.8,2_right.webp,https://scrandle.com/media/o/FrmnBbJX0AIpzft.webp
2025-04-23,3,left,Buttermilk chicken burger tray,,11.0,26.2,3_left.webp,https://scrandle.com/media/o/FJkPQb-WQAg3lFJ.webp
2025-04-23,3,right,Pizza and cannolis,,10.0,77.5,3_right.webp,https://scrandle.com/media/o/FgzoNW7XEAY2KlZ.webp
2025-04-23,4,left,Chicken balti pie,,3.75,80.2,4_left.webp,https://scrandle.com/media/o/FXELSzqXgAMpqL2.webp
2025-04-23,4,right,Honey BBQ chicken strips,With chips,8.5,85.8,4_right.webp,https://scrandle.com/media/o/Fp0eUgPWwAE-DPL.webp
2025-04-23,5,left,"Sausage, chips and stuffing",With gravy,5.0,72.4,5_left.webp,https://scrandle.com/media/o/FoNT0AOXoAIS0GS.webp
2025-04-23,5,right,Seekh kebab,,8.0,16.7,5_right.webp,https://scrandle.com/media/o/Fqsw9SZWcAAa1xF.webp
2025-04-23,6,left,Sri Lankan food platter,Free for fans,0.0,93.7,6_left.webp,https://scrandle.com/media/o/FR2_o7PXwAIkq09.webp
2025-04-23,6,right,Bakmi Goreng,Stir-fried noodles with a fried egg,1.9,86.4,6_right.webp,https://scrandle.com/media/o/FVDPAusXEAADQE-.webp
2025-04-23,7,left,Coxinha,Chicken croquette,1.6,82.0,7_left.webp,https://scrandle.com/media/o/FTyQZUBWQAEjluj.webp
2025-04-23,7,right,Steak and ale pie,"With mash, gravy and peas",5.5,76.6,7_right.webp,https://scrandle.com/media/o/FsknBoiWcAgSaJx.webp
2025-04-23,8,left,Kibbeling,Fried cod bites with garlic sauce,4.0,78.9,8_left.webp,https://scrandle.com/media/o/FNWOkCGXEAcUCME.webp
2025-04-23,8,right,Beef short rib tacos,,9.0,93.5,8_right.webp,https://scrandle.com/media/o/GZY2PVWWMAAs3PJ.webp
2025-04-23,9,left,Breakfast baguette,"Bacon, sausage, egg and onions",8.0,77.2,9_left.webp,https://scrandle.com/media/o/GKzoNrMXoAASvC3.webp
2025-04-23,9,right,Currywurst with a pint,,5.8,90.5,9_right.webp,https://scrandle.com/media/o/FuaK9aNWYAA6mtA.webp
